Date,White,Black,Opening,White_rating,Black_rating,winner,url
2021.07.09,jtucker109,lulu_belge,A00,912,1237,jtucker109,https://www.chess.com/game/daily/344745725
2021.08.19,pgarcia05,jtucker109,A41,1235,908,pgarcia05,https://www.chess.com/game/daily/352193963
2021.08.20,jtucker109,pgarcia05,B07,904,1239,pgarcia05,https://www.chess.com/game/daily/352302657
2021.08.19,el-bantu,jtucker109,B07,448,904,el-bantu,https://www.chess.com/game/daily/352100709
2021.08.22,pgarcia05,jtucker109,A40,1243,900,pgarcia05,https://www.chess.com/game/daily/352704311
2021.08.23,jtucker109,el-bantu,A45,900,451,jtucker109,https://www.chess.com/game/daily/352834807
2021.08.25,jtucker109,pgarcia05,A41,896,1246,pgarcia05,https://www.chess.com/game/daily/353151495
2021.08.31,pgarcia05,jtucker109,A40,1249,893,pgarcia05,https://www.chess.com/game/daily/354169445
2021.08.30,el-bantu,jtucker109,A00,464,893,jtucker109,https://www.chess.com/game/daily/353993617
2021.08.22,lulu_belge,jtucker109,B07,1216,889,lulu_belge,https://www.chess.com/game/daily/352686171
2021.09.15,Robe67,jtucker109,B00,555,367,Robe67,https://www.chess.com/game/live/25486265933
2021.01.03,Saggy824,pgarcia05,C23,1200,400,pgarcia05,https://www.chess.com/game/live/6133443162
2021.01.03,pgarcia05,Saggy824,C40,400,1200,Saggy824,https://www.chess.com/game/live/6133845480
2021.01.03,pgarcia05,Folante88,C42,400,554,pgarcia05,https://www.chess.com/game/daily/299150524
2021.01.04,jukkaballa,pgarcia05,B02,294,531,pgarcia05,https://www.chess.com/game/live/6136456056
2021.01.04,pgarcia05,AgentK46,B27,452,688,AgentK46,https://www.chess.com/game/live/6136548709
2021.01.04,pgarcia05,neverendingsoda,C46,573,504,pgarcia05,https://www.chess.com/game/live/6136741420
2021.01.03,Saggy824,pgarcia05,C26,1200,400,pgarcia05,https://www.chess.com/game/daily/299148920
2021.01.04,ryanshanahan,pgarcia05,C43,486,648,pgarcia05,https://www.chess.com/game/live/6137010307
2021.01.04,pgarcia05,Saggy824,C44,400,1200,pgarcia05,https://www.chess.com/game/daily/299258144
2021.01.04,itspiliii,pgarcia05,C20,584,711,pgarcia05,https://www.chess.com/game/live/6145191515
2021.01.04,pgarcia05,schergohajirashid,C25,400,400,pgarcia05,https://www.chess.com/game/daily/299283334
2021.01.04,Saggy824,pgarcia05,C20,1200,400,pgarcia05,https://www.chess.com/game/daily/299441900
2021.01.06,pgarcia05,Saggy824,C40,777,823,pgarcia05,https://www.chess.com/game/daily/299827138
2021.01.07,pgarcia05,elRow97,B02,778,722,pgarcia05,https://www.chess.com/game/live/6165103159
